Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESPACO EDUCACIONAL UNIDADE 7,35004028,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"LATINO COELHO, 266 PARQUE TAQUARAL. 13087-010 Campinas - SP.",(19) 991016458,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.8657761,-47.0512605
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA CIRANDA,35004043,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"GERMANO CASELLATTO, 75 JARDIM SANTA GENEBRA II BARAO GERALDO. 13084-776 Campinas - SP.",(19) 32890005,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.829637,-47.0771049
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MONTESSORI DE CAMPINAS,35004090,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"JOAO ERBOLATO, 195 JARDIM CHAPADAO. 13070-070 Campinas - SP.",(19) 32135896,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.88965523,-47.07915878
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL MULTI SABER,35004099,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"DAS HORTENCIAS, 926 CHACARA PRIMAVERA. 13087-440 Campinas - SP.",(19) 32564431,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.85573661,-47.05273529
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO RAPHAEL DI SANTO,35004252,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"DAS GARDENIAS, 90 VILA MIMOSA. 13050-051 Campinas - SP.",(19) 32693569,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.93443637,-47.09122557
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO POLIEDRO,35004269,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"DONA MARIA UMBELINA COUTO, 58 TAQUARAL. 13076-011 Campinas - SP.",(19) 41411616,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.8874013,-47.058476
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO APRENDER E EDUCAR,35004277,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"JOSE BONIFACIO, 159 JARDIM FLAMBOYANT. 13091-140 Campinas - SP.",(19) 32010552,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LUDIWI ESCOLA DE EDUCACAO INFANTIL,35004288,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"DOUTOR JOSE FERREIRA DE CAMARGO, 951 JARDIM PLANALTO. 13092-005 Campinas - SP.",(19) 32551749,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.89863518,-47.04477542
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA INFANTIL CARACOL,35004296,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"MARIO SIQUEIRA, 218 BOTAFOGO. 13020-210 Campinas - SP.",(19) 32344641,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.8978440877902,-47.0703331178564
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA INFANTIL INTERATIVA,35004597,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"SANTA GENEBRA, 254 JARDIM SANTA GENEBRA. 13080-280 Campinas - SP.",(19) 32090126,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.8519633333333,-47.0671766666667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL PRIMEIRO MUNDO,35004598,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"DURVAL FARIA SOBRINHO, 477487 JARDIM CARLOS LOURENCO. 13101-127 Campinas - SP.",(19) 32553665,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.9269767,-47.0235073
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,STRANGHETTI RIBEIRO ESCOLA INFANTIL,35004600,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"EMERSON JOSE MOREIRA, 210 PARQUE TAQUARAL. 13087-045 Campinas - SP.",(19) 31600692,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.86932721,-47.05240802
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BERCARIO GIRASSOL LTDA,35004683,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"DAS HORTENCIAS, 261 CHACARA PRIMAVERA. 13087-440 Campinas - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.86178126,-47.05283814
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ADVENTISTA DE CAMPINAS UNIDADE CASTELO,35004688,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"ESPANHA, 260 VILA ROSSI BORGHI E SIQUEIRA. 13070-260 Campinas - SP.",(19) 34500170,Privada,Filantrópica,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.8962535,-47.075008
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL E RECREATIVO GUANABARA,35004731,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"ARTUR PAIOLI, 127 E145 JARDIM NOSSA SENHORA AUXILIADORA. 13075-640 Campinas - SP.",(19) 33070913,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.87472,-47.06743
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PRIMAVERA BERCARIO E ESCOLA DE EDUCACAO INFANTIL,35004746,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"LATINO COELHO, 501 PARQUE TAQUARAL. 13087-010 Campinas - SP.",(19) 32567173,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.8661,-47.05407
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL OBJETIVO UNIDADE SAO BERNARDO,35004946,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RIO DE JANEIRO, 327 FUNDACAO DA CASA POPULAR. 13031-340 Campinas - SP.",(19) 32722530,Privada,Comunitária,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-22.9175448,-47.0787526
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO GRAAL KIDS,35004979,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"ROTARY, 10 VILA BRANDINA. 13092-509 Campinas - SP.",(19) 33082767,Privada,Comunitária,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
