Escola,Código INEP,UF,Município,Localização,Endereço,Telefone,Categoria Escola Privada,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
COLEGIO ESPACO EDUCACIONAL UNIDADE 7,35004028,SP,Campinas,Urbana,"LATINO COELHO, 266 PARQUE TAQUARAL. 13087-010 Campinas - SP.",(19) 991016458,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8657761,-47.0512605
ESCOLA CIRANDA,35004043,SP,Campinas,Urbana,"GERMANO CASELLATTO, 75 JARDIM SANTA GENEBRA II BARAO GERALDO. 13084-776 Campinas - SP.",(19) 32890005,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.829637,-47.0771049
ESCOLA MONTESSORI DE CAMPINAS,35004090,SP,Campinas,Urbana,"JOAO ERBOLATO, 195 JARDIM CHAPADAO. 13070-070 Campinas - SP.",(19) 32135896,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.88965523,-47.07915878
ESCOLA DE EDUCACAO INFANTIL MULTI SABER,35004099,SP,Campinas,Urbana,"DAS HORTENCIAS, 926 CHACARA PRIMAVERA. 13087-440 Campinas - SP.",(19) 32564431,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.85573661,-47.05273529
COLEGIO RAPHAEL DI SANTO,35004252,SP,Campinas,Urbana,"DAS GARDENIAS, 90 VILA MIMOSA. 13050-051 Campinas - SP.",(19) 32693569,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.93443637,-47.09122557
COLEGIO POLIEDRO,35004269,SP,Campinas,Urbana,"DONA MARIA UMBELINA COUTO, 58 TAQUARAL. 13076-011 Campinas - SP.",(19) 41411616,Particular,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.8874013,-47.058476
COLEGIO APRENDER E EDUCAR,35004277,SP,Campinas,Urbana,"JOSE BONIFACIO, 159 JARDIM FLAMBOYANT. 13091-140 Campinas - SP.",(19) 32010552,Particular,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,
LUDIWI ESCOLA DE EDUCACAO INFANTIL,35004288,SP,Campinas,Urbana,"DOUTOR JOSE FERREIRA DE CAMARGO, 951 JARDIM PLANALTO. 13092-005 Campinas - SP.",(19) 32551749,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.89863518,-47.04477542
ESCOLA INFANTIL CARACOL,35004296,SP,Campinas,Urbana,"MARIO SIQUEIRA, 218 BOTAFOGO. 13020-210 Campinas - SP.",(19) 32344641,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8978440877902,-47.0703331178564
ESCOLA INFANTIL INTERATIVA,35004597,SP,Campinas,Urbana,"SANTA GENEBRA, 254 JARDIM SANTA GENEBRA. 13080-280 Campinas - SP.",(19) 32090126,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.8519633333333,-47.0671766666667
ESCOLA DE EDUCACAO INFANTIL PRIMEIRO MUNDO,35004598,SP,Campinas,Urbana,"DURVAL FARIA SOBRINHO, 477487 JARDIM CARLOS LOURENCO. 13101-127 Campinas - SP.",(19) 32553665,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.9269767,-47.0235073
STRANGHETTI RIBEIRO ESCOLA INFANTIL,35004600,SP,Campinas,Urbana,"EMERSON JOSE MOREIRA, 210 PARQUE TAQUARAL. 13087-045 Campinas - SP.",(19) 31600692,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.86932721,-47.05240802
BERCARIO GIRASSOL LTDA,35004683,SP,Campinas,Urbana,"DAS HORTENCIAS, 261 CHACARA PRIMAVERA. 13087-440 Campinas - SP.",,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.86178126,-47.05283814
COLEGIO ADVENTISTA DE CAMPINAS UNIDADE CASTELO,35004688,SP,Campinas,Urbana,"ESPANHA, 260 VILA ROSSI BORGHI E SIQUEIRA. 13070-260 Campinas - SP.",(19) 34500170,Filantrópica,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8962535,-47.075008
CENTRO EDUCACIONAL E RECREATIVO GUANABARA,35004731,SP,Campinas,Urbana,"ARTUR PAIOLI, 127 E145 JARDIM NOSSA SENHORA AUXILIADORA. 13075-640 Campinas - SP.",(19) 33070913,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.87472,-47.06743
PRIMAVERA BERCARIO E ESCOLA DE EDUCACAO INFANTIL,35004746,SP,Campinas,Urbana,"LATINO COELHO, 501 PARQUE TAQUARAL. 13087-010 Campinas - SP.",(19) 32567173,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8661,-47.05407
CENTRO EDUCACIONAL OBJETIVO UNIDADE SAO BERNARDO,35004946,SP,Campinas,Urbana,"RIO DE JANEIRO, 327 FUNDACAO DA CASA POPULAR. 13031-340 Campinas - SP.",(19) 32722530,Comunitária,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,-22.9175448,-47.0787526
COLEGIO GRAAL KIDS,35004979,SP,Campinas,Urbana,"ROTARY, 10 VILA BRANDINA. 13092-509 Campinas - SP.",(19) 33082767,Comunitária,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
TEMPO DE EDUCAR ESCOLA INFANTIL,35005140,SP,Campinas,Urbana,"BARTIRA, 64 VILA IPE. 13044-340 Campinas - SP.",(19) 32766143,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.94531836,-47.04609832
COLEGIO INOVAR UNIDADE II,35005194,SP,Campinas,Urbana,"TOMAS GONCALVES GOMIDE, 95 PARQUE INDUSTRIAL. 13031-550 Campinas - SP.",,Particular,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,-22.9190356,-47.0856707
ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL I ANOS INICIAIS GARDEN BABY,35005285,SP,Campinas,Urbana,"DO ORATORIO, 285 JARDIM SAO DOMINGOS SAVIO. 13075-140 Campinas - SP.",(19) 25134223,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
COLEGIO APRENDER E EDUCAR UNIDADE II,35005655,SP,Campinas,Rural,"JOSE BONIFACIO, 233 JARDIM FLAMBOYANT. 13091-140 Campinas - SP.",(19) 33082493,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
COLEGIO OFICINA DO ESTUDANTE UNIDADE TAQUARAL,35005741,SP,Campinas,Urbana,"JASMIM, 700 CHACARA PRIMAVERA. 13087-460 Campinas - SP.",(19) 37222324,Particular,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-22.85460911,-47.05149377
QUINTAL DAS BORBOLETAS EDUCACAO INFANTIL,35006045,SP,Campinas,Urbana,"DOS EXPEDICIONARIOS, 822 SOUSAS. 13106-028 Campinas - SP.",(19) 40428834,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.88283854,-46.97361668
BERCARIO E ESCOLA INFANTIL BARAO DE TEFFE,35006230,SP,Campinas,Urbana,"JOAO PEDROSO, 310 ARRUAMENTO FAIN JOSE FERES. 13084-583 Campinas - SP.",(19) 32894766,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.81989,-47.08517
